<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,30,090107,110000,89995.0000000,90606.0000000,87600.0000000,89800.0000000,8001
SBER,30,090107,113000,89796.6200000,90050.0000000,89100.0000000,89361.0000000,3664
SBER,30,090107,120000,89361.0100000,90100.0000000,89115.0700000,89922.0000000,2712
SBER,30,090107,123000,89990.0000000,90000.0100000,89500.0000000,89680.0000000,1998
SBER,30,090107,130000,89629.0000000,89677.9100000,88155.0000000,88202.0000000,3270
SBER,30,090107,133000,88299.9900000,88408.9500000,88101.0000000,88200.0000000,971
SBER,30,090107,140000,88200.0000000,88200.0000000,87120.0000000,88000.0000000,4007
SBER,30,090107,143000,87900.0000000,88189.0000000,86670.0000000,86800.0000000,2437
SBER,30,090107,150000,86897.0000000,86990.0000000,85741.0200000,85830.0000000,4161
SBER,30,090107,153000,85830.0100000,86189.0000000,84805.0000000,85299.8600000,5333
SBER,30,090107,160000,85100.2000000,85349.9200000,84811.0000000,85000.0000000,2935
SBER,30,090107,163000,84950.0000000,85392.0000000,84832.0400000,85000.0000000,2574
SBER,30,090107,170000,84900.0000000,84999.9800000,82252.8600000,83100.0000000,5547
SBER,30,090107,173000,83050.0100000,85451.0000000,83050.0000000,85000.0000000,7058
SBER,30,090107,180000,85000.0000000,85385.0000000,83500.9000000,84279.9600000,4811
